ISO3,country,adm1_name,adm2_name,mkt_name,lat,lon,geo_id,price_date,year,month,currency,exchange_rate_unofficial,milling_cost_sorghum,wage_non_qualified_labour_non_agricultural,o_exchange_rate_unofficial,h_exchange_rate_unofficial,l_exchange_rate_unofficial,c_exchange_rate_unofficial,inflation_exchange_rate_unofficial,trust_exchange_rate_unofficial,o_milling_cost_sorghum,h_milling_cost_sorghum,l_milling_cost_sorghum,c_milling_cost_sorghum,inflation_milling_cost_sorghum,trust_milling_cost_sorghum,o_wage_non_qualified_labour_non_agricultural,h_wage_non_qualified_labour_non_agricultural,l_wage_non_qualified_labour_non_agricultural,c_wage_non_qualified_labour_non_agricultural,inflation_wage_non_qualified_labour_non_agricultural,trust_wage_non_qualified_labour_non_agricultural
SSD,South Sudan,Warrap,Twic,Abyei,9.35,28.28,gid_93500000282800000,2007-01-01,2007,1,SSP,3.19,,,3.19,3.32,3.06,3.19,,,0.47,0.52,0.46,0.49,,8.9,9.45,10.61,9,9.82,,8.3
SSD,South Sudan,Warrap,Twic,Abyei,9.35,28.28,gid_93500000282800000,2007-02-01,2007,2,SSP,3.18,,,3.18,3.31,3.05,3.18,,,0.51,0.54,0.48,0.48,,8.9,10.19,11.02,9.35,9.73,,8.3
SSD,South Sudan,Warrap,Twic,Abyei,9.35,28.28,gid_93500000282800000,2007-03-01,2007,3,SSP,3.18,,,3.18,3.28,3.08,3.18,,,0.49,0.52,0.46,0.5,,8.9,10.05,10.75,9.35,9.87,,8.3
SSD,South Sudan,Warrap,Twic,Abyei,9.35,28.28,gid_93500000282800000,2007-04-01,2007,4,SSP,3.17,,,3.17,3.25,3.1,3.17,,,0.51,0.54,0.48,0.5,,8.9,10.19,10.89,9.49,9.94,,8.3
SSD,South Sudan,Warrap,Twic,Abyei,9.35,28.28,gid_93500000282800000,2007-05-01,2007,5,SSP,3.17,,,3.17,3.23,3.11,3.17,,,0.52,0.54,0.49,0.52,,8.9,10.25,10.89,9.61,10.21,,8.3
SSD,South Sudan,Warrap,Twic,Abyei,9.35,28.28,gid_93500000282800000,2007-06-01,2007,6,SSP,3.16,,,3.16,3.21,3.11,3.16,,,0.53,0.56,0.51,0.53,,8.9,10.54,11.19,9.89,10.4,,8.3
SSD,South Sudan,Warrap,Twic,Abyei,9.35,28.28,gid_93500000282800000,2007-07-01,2007,7,SSP,3.15,,,3.15,3.2,3.11,3.15,,,0.54,0.56,0.52,0.54,,8.9,10.72,11.35,10.09,10.68,,8.3
SSD,South Sudan,Warrap,Twic,Abyei,9.35,28.28,gid_93500000282800000,2007-08-01,2007,8,SSP,3.15,,,3.15,3.19,3.11,3.15,,,0.56,0.58,0.54,0.54,,8.9,11.02,11.66,10.37,10.78,,8.3
SSD,South Sudan,Warrap,Twic,Abyei,9.35,28.28,gid_93500000282800000,2007-09-01,2007,9,SSP,3.14,,,3.14,3.18,3.11,3.14,,,0.56,0.64,0.54,0.64,,8.9,11.11,12.26,10.46,12.26,,8.3
SSD,South Sudan,Warrap,Twic,Abyei,9.35,28.28,gid_93500000282800000,2007-10-01,2007,10,SSP,3.14,,,3.14,3.17,3.1,3.14,,,0.67,0.71,0.55,0.55,,8.9,12.77,13.75,10.82,10.82,,8.3
SSD,South Sudan,Warrap,Twic,Abyei,9.35,28.28,gid_93500000282800000,2007-11-01,2007,11,SSP,3.14,,,3.13,3.17,3.1,3.14,,,0.56,0.68,0.51,0.68,,8.9,11.1,13.1,10.06,13.1,,8.3
